2021/09/24 16:38:15.436 [1;34m[I][0m [npc.go:225]  the version of client is 0.26.4, the core version of client is 0.26.0
2021/09/24 19:32:43.336 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:53854->144.144.144.144:53: write: no buffer space available
2021/09/24 19:32:48.338 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60933->144.144.144.144:53: write: no buffer space available
2021/09/24 19:32:53.343 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:65252->144.144.144.144:53: write: no buffer space available
2021/09/24 19:32:58.346 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51794->144.144.144.144:53: write: no buffer space available
2021/09/24 19:33:03.348 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:65454->144.144.144.144:53: write: no buffer space available
2021/09/24 19:33:08.351 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50837->144.144.144.144:53: write: no buffer space available
2021/09/24 19:33:13.358 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:62155->144.144.144.144:53: write: no buffer space available
2021/09/24 19:33:18.360 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:57893->144.144.144.144:53: write: no buffer space available
2021/09/24 19:33:23.366 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60741->144.144.144.144:53: write: no buffer space available
2021/09/24 19:33:28.368 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:57473->144.144.144.144:53: write: no buffer space available
2021/09/24 19:33:33.370 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:49167->144.144.144.144:53: write: no buffer space available
2021/09/24 19:33:38.375 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51176->144.144.144.144:53: write: no buffer space available
2021/09/24 19:33:43.376 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59464->144.144.144.144:53: write: no buffer space available
2021/09/24 19:33:48.379 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61841->144.144.144.144:53: write: no buffer space available
2021/09/24 19:33:53.381 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58876->144.144.144.144:53: write: no buffer space available
2021/09/24 19:33:58.387 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60079->144.144.144.144:53: write: no buffer space available
2021/09/24 19:34:03.391 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:62664->144.144.144.144:53: write: no buffer space available
2021/09/24 19:34:08.394 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:53709->144.144.144.144:53: write: no buffer space available
2021/09/24 19:34:13.397 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51210->144.144.144.144:53: write: no buffer space available
2021/09/24 19:34:18.398 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:49440->144.144.144.144:53: write: no buffer space available
2021/09/24 19:34:23.416 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58207->144.144.144.144:53: write: no buffer space available
2021/09/24 19:34:28.423 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50942->144.144.144.144:53: write: no buffer space available
2021/09/24 19:34:33.429 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:52892->144.144.144.144:53: write: no buffer space available
2021/09/24 19:34:38.434 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61257->144.144.144.144:53: write: no buffer space available
2021/09/24 19:34:43.437 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59895->144.144.144.144:53: write: no buffer space available
2021/09/24 19:34:48.443 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51982->144.144.144.144:53: write: no buffer space available
2021/09/24 19:34:53.449 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:62761->144.144.144.144:53: write: no buffer space available
2021/09/24 19:34:58.454 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:64284->144.144.144.144:53: write: no buffer space available
2021/09/24 19:35:03.459 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61498->144.144.144.144:53: write: no buffer space available
2021/09/24 19:35:08.462 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:62914->144.144.144.144:53: write: no buffer space available
2021/09/24 19:35:13.464 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:52830->144.144.144.144:53: write: no buffer space available
2021/09/24 19:35:18.471 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50167->144.144.144.144:53: write: no buffer space available
2021/09/24 19:35:23.475 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50283->144.144.144.144:53: write: no buffer space available
2021/09/24 19:35:28.479 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:62397->144.144.144.144:53: write: no buffer space available
2021/09/24 19:35:33.484 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58846->144.144.144.144:53: write: no buffer space available
2021/09/24 19:35:38.488 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60920->144.144.144.144:53: write: no buffer space available
2021/09/24 19:35:43.492 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58868->144.144.144.144:53: write: no buffer space available
2021/09/24 19:35:48.496 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:57373->144.144.144.144:53: write: no buffer space available
2021/09/24 19:35:53.501 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:56249->144.144.144.144:53: write: no buffer space available
2021/09/24 19:35:58.505 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:62526->144.144.144.144:53: write: no buffer space available
2021/09/24 19:36:03.510 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60532->144.144.144.144:53: write: no buffer space available
2021/09/24 19:36:08.516 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:57234->144.144.144.144:53: write: no buffer space available
2021/09/24 19:36:13.523 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:49907->144.144.144.144:53: write: no buffer space available
2021/09/24 19:36:18.530 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51713->144.144.144.144:53: write: no buffer space available
2021/09/24 19:36:23.536 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:55211->144.144.144.144:53: write: no buffer space available
2021/09/24 19:36:28.539 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:62853->144.144.144.144:53: write: no buffer space available
2021/09/24 19:36:33.545 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50785->144.144.144.144:53: write: no buffer space available
2021/09/24 19:36:38.548 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60517->144.144.144.144:53: write: no buffer space available
2021/09/24 19:36:43.552 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58965->144.144.144.144:53: write: no buffer space available
2021/09/24 19:36:48.557 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59035->144.144.144.144:53: write: no buffer space available
2021/09/24 19:36:53.563 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:49916->144.144.144.144:53: write: no buffer space available
2021/09/24 19:36:58.569 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:64306->144.144.144.144:53: write: no buffer space available
2021/09/24 19:37:03.574 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:55730->144.144.144.144:53: write: no buffer space available
2021/09/24 19:37:08.575 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:54756->144.144.144.144:53: write: no buffer space available
2021/09/24 19:37:13.580 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:63574->144.144.144.144:53: write: no buffer space available
2021/09/24 19:37:18.585 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50774->144.144.144.144:53: write: no buffer space available
2021/09/24 19:37:23.590 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:57641->144.144.144.144:53: write: no buffer space available
2021/09/24 19:37:28.591 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:54401->144.144.144.144:53: write: no buffer space available
2021/09/24 19:37:33.595 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58606->144.144.144.144:53: write: no buffer space available
2021/09/24 19:37:38.599 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:56046->144.144.144.144:53: write: no buffer space available
2021/09/24 19:37:43.604 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:49480->144.144.144.144:53: write: no buffer space available
2021/09/24 19:37:48.607 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:64658->144.144.144.144:53: write: no buffer space available
2021/09/24 19:37:53.609 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:56998->144.144.144.144:53: write: no buffer space available
2021/09/24 19:37:58.614 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:49843->144.144.144.144:53: write: no buffer space available
2021/09/24 19:38:03.620 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:54297->144.144.144.144:53: write: no buffer space available
2021/09/24 19:38:08.622 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61682->144.144.144.144:53: write: no buffer space available
2021/09/24 19:38:13.627 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:49458->144.144.144.144:53: write: no buffer space available
2021/09/24 19:38:18.632 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61915->144.144.144.144:53: write: no buffer space available
2021/09/24 19:38:23.637 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61088->144.144.144.144:53: write: no buffer space available
2021/09/24 19:38:28.638 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:63459->144.144.144.144:53: write: no buffer space available
2021/09/24 19:38:33.643 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51881->144.144.144.144:53: write: no buffer space available
2021/09/24 19:38:38.648 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61040->144.144.144.144:53: write: no buffer space available
2021/09/24 19:38:43.651 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61080->144.144.144.144:53: write: no buffer space available
2021/09/24 19:38:48.652 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:54159->144.144.144.144:53: write: no buffer space available
2021/09/24 19:38:53.656 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:55104->144.144.144.144:53: write: no buffer space available
2021/09/24 19:38:58.658 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:62396->144.144.144.144:53: write: no buffer space available
2021/09/24 19:39:03.662 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:54975->144.144.144.144:53: write: no buffer space available
2021/09/24 19:39:08.668 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:53480->144.144.144.144:53: write: no buffer space available
2021/09/24 19:39:13.675 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:56845->144.144.144.144:53: write: no buffer space available
2021/09/24 19:39:18.680 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:64313->144.144.144.144:53: write: no buffer space available
2021/09/24 19:39:23.684 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60694->144.144.144.144:53: write: no buffer space available
2021/09/24 19:39:28.687 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:53989->144.144.144.144:53: write: no buffer space available
2021/09/24 19:39:33.690 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:53986->144.144.144.144:53: write: no buffer space available
2021/09/24 19:39:38.695 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:64544->144.144.144.144:53: write: no buffer space available
2021/09/24 19:39:43.697 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:56473->144.144.144.144:53: write: no buffer space available
2021/09/24 19:39:48.703 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61164->144.144.144.144:53: write: no buffer space available
2021/09/24 19:39:53.708 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59263->144.144.144.144:53: write: no buffer space available
2021/09/24 19:39:58.715 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61728->144.144.144.144:53: write: no buffer space available
2021/09/24 19:40:03.718 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:63329->144.144.144.144:53: write: no buffer space available
2021/09/24 19:40:08.720 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60277->144.144.144.144:53: write: no buffer space available
2021/09/24 19:40:13.723 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59025->144.144.144.144:53: write: no buffer space available
2021/09/24 19:40:18.728 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:49254->144.144.144.144:53: write: no buffer space available
2021/09/24 19:40:23.734 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:63936->144.144.144.144:53: write: no buffer space available
2021/09/24 19:40:28.739 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:64718->144.144.144.144:53: write: no buffer space available
2021/09/24 19:40:33.744 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:63053->144.144.144.144:53: write: no buffer space available
2021/09/24 19:40:38.747 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:52024->144.144.144.144:53: write: no buffer space available
2021/09/24 19:40:43.752 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:65512->144.144.144.144:53: write: no buffer space available
2021/09/24 19:40:48.758 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58877->144.144.144.144:53: write: no buffer space available
2021/09/24 19:40:53.762 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:65407->144.144.144.144:53: write: no buffer space available
2021/09/24 19:40:58.765 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51804->144.144.144.144:53: write: no buffer space available
2021/09/24 19:41:03.768 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58625->144.144.144.144:53: write: no buffer space available
2021/09/24 19:41:08.775 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:55782->144.144.144.144:53: write: no buffer space available
2021/09/24 19:41:13.778 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:62385->144.144.144.144:53: write: no buffer space available
2021/09/24 19:41:18.783 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:49357->144.144.144.144:53: write: no buffer space available
2021/09/24 19:41:24.117 [1;34m[I][0m [client.go:67]  Successful connection with server mb.nps.zwyxxd.press:8024
2021/09/24 22:04:43.033 [1;44m[D][0m [client.go:211]  new tcp connection with the goal of 192.168.1.8:1234, remote address:172.17.0.1:52550
2021/09/24 22:13:51.094 [1;33m[W][0m [client.go:208]  connect to 10.66.5.251:1234 error dial tcp: address tcp/1234: unknown port
2021/09/25 00:42:44.458 [1;44m[D][0m [client.go:211]  new tcp connection with the goal of 192.168.1.8:1234, remote address:172.17.0.1:52368
2021/09/25 04:39:56.817 [1;44m[D][0m [client.go:211]  new tcp connection with the goal of 192.168.1.8:5678, remote address:172.17.0.1:59442
2021/09/25 07:55:11.068 [1;33m[W][0m [client.go:208]  connect to 10.66.5.251:5678 error dial tcp: address tcp/5678: unknown port
2021/09/25 07:55:11.832 [1;44m[D][0m [client.go:211]  new tcp connection with the goal of 192.168.1.8:5678, remote address:172.17.0.1:48864
2021/09/25 11:42:06.052 [1;33m[W][0m [client.go:208]  connect to 10.66.5.251:1234 error dial tcp: address tcp/1234: unknown port
2021/09/25 12:01:47.707 [1;33m[W][0m [client.go:208]  connect to 10.66.5.251:5678 error dial tcp: address tcp/5678: unknown port
2021/09/25 12:01:47.717 [1;44m[D][0m [client.go:211]  new tcp connection with the goal of 192.168.1.8:5678, remote address:172.17.0.1:58642
2021/09/25 12:01:49.404 [1;33m[W][0m [client.go:208]  connect to 10.66.5.251:5678 error dial tcp: address tcp/5678: unknown port
2021/09/25 12:01:49.409 [1;44m[D][0m [client.go:211]  new tcp connection with the goal of 192.168.1.8:5678, remote address:172.17.0.1:58650
2021/09/25 12:01:55.140 [1;44m[D][0m [client.go:211]  new tcp connection with the goal of 192.168.1.8:5678, remote address:172.17.0.1:58668
2021/09/25 12:01:55.141 [1;33m[W][0m [client.go:208]  connect to 10.66.5.251:5678 error dial tcp: address tcp/5678: unknown port
2021/09/25 12:01:55.161 [1;33m[W][0m [client.go:208]  connect to 10.66.5.251:5678 error dial tcp: address tcp/5678: unknown port
2021/09/25 12:01:55.361 [1;44m[D][0m [client.go:211]  new tcp connection with the goal of 192.168.1.8:5678, remote address:172.17.0.1:58674
2021/09/25 12:27:56.171 [1;33m[W][0m [client.go:208]  connect to 10.66.5.251:5678 error dial tcp: address tcp/5678: unknown port
2021/09/25 12:27:57.068 [1;33m[W][0m [client.go:208]  connect to 10.66.5.251:5678 error dial tcp: address tcp/5678: unknown port
